product_category_name,quantity
cama_mesa_banho,11115
beleza_saude,9670
esporte_lazer,8641
moveis_decoracao,8334
informatica_acessorios,7827
utilidades_domesticas,6964
relogios_presentes,5991
telefonia,4545
ferramentas_jardim,4347
automotivo,4235
brinquedos,4117
cool_stuff,3796
perfumaria,3419
bebes,3065
eletronicos,2767
papelaria,2517
fashion_bolsas_e_acessorios,2031
pet_shop,1947
moveis_escritorio,1691
consoles_games,1137
malas_acessorios,1092
construcao_ferramentas_construcao,929
eletrodomesticos,771
instrumentos_musicais,680
eletroportateis,679
casa_construcao,604
livros_interesse_geral,553
alimentos,510
moveis_sala,503
casa_conforto,434
bebidas,379
audio,364
market_place,311
construcao_ferramentas_iluminacao,304
climatizacao,297
moveis_cozinha_area_de_servico_jantar_e_jardim,281
alimentos_bebidas,278
industria_comercio_e_negocios,268
livros_tecnicos,267
telefonia_fixa,264
fashion_calcados,262
eletrodomesticos_2,238
construcao_ferramentas_jardim,238
agro_industria_e_comercio,212
artes,209
pcs,203
sinalizacao_e_seguranca,199
construcao_ferramentas_seguranca,194
artigos_de_natal,153
fashion_roupa_masculina,132
fashion_underwear_e_moda_praia,131
moveis_quarto,109
construcao_ferramentas_ferramentas,103
tablets_impressao_imagem,83
portateis_casa_forno_e_cafe,76
cine_foto,72
dvds_blu_ray,64
livros_importados,60
fashion_roupa_feminina,48
artigos_de_festas,43
fraldas_higiene,39
moveis_colchao_e_estofado,38
musica,38
flores,33
casa_conforto_2,30
fashion_esporte,30
artes_e_artesanato,24
portateis_cozinha_e_preparadores_de_alimentos,15
cds_dvds_musicais,14
la_cuisine,14
pc_gamer,9
fashion_roupa_infanto_juvenil,8
seguros_e_servicos,2
