year,month,product_category_name,quantidade
2017.0,4.0,alimentos,8
2017.0,4.0,alimentos_bebidas,3
2017.0,4.0,artigos_de_natal,1
2017.0,4.0,audio,11
2017.0,4.0,automotivo,86
2017.0,4.0,bebes,50
2017.0,4.0,bebidas,7
2017.0,4.0,beleza_saude,186
2017.0,4.0,brinquedos,115
2017.0,4.0,cama_mesa_banho,265
2017.0,4.0,casa_conforto,17
2017.0,4.0,casa_conforto_2,1
2017.0,4.0,casa_construcao,5
2017.0,4.0,cine_foto,2
2017.0,4.0,climatizacao,17
2017.0,4.0,consoles_games,17
2017.0,4.0,construcao_ferramentas_ferramentas,1
2017.0,4.0,construcao_ferramentas_jardim,7
2017.0,4.0,cool_stuff,121
2017.0,4.0,dvds_blu_ray,2
2017.0,4.0,eletrodomesticos,10
2017.0,4.0,eletrodomesticos_2,2
2017.0,4.0,eletronicos,47
2017.0,4.0,eletroportateis,20
2017.0,4.0,esporte_lazer,209
2017.0,4.0,fashion_bolsas_e_acessorios,51
2017.0,4.0,fashion_calcados,23
2017.0,4.0,fashion_esporte,4
2017.0,4.0,fashion_roupa_feminina,1
2017.0,4.0,fashion_roupa_masculina,7
2017.0,4.0,fashion_underwear_e_moda_praia,4
2017.0,4.0,ferramentas_jardim,120
2017.0,4.0,informatica_acessorios,134
2017.0,4.0,instrumentos_musicais,16
2017.0,4.0,la_cuisine,1
2017.0,4.0,livros_importados,1
2017.0,4.0,livros_interesse_geral,12
2017.0,4.0,livros_tecnicos,1
2017.0,4.0,malas_acessorios,48
2017.0,4.0,market_place,20
2017.0,4.0,moveis_colchao_e_estofado,1
2017.0,4.0,moveis_cozinha_area_de_servico_jantar_e_jardim,9
2017.0,4.0,moveis_decoracao,201
2017.0,4.0,moveis_escritorio,57
2017.0,4.0,moveis_quarto,5
2017.0,4.0,moveis_sala,13
2017.0,4.0,musica,2
2017.0,4.0,papelaria,39
2017.0,4.0,pc_gamer,2
2017.0,4.0,perfumaria,107
2017.0,4.0,pet_shop,47
2017.0,4.0,relogios_presentes,97
2017.0,4.0,sinalizacao_e_seguranca,3
2017.0,4.0,tablets_impressao_imagem,8
2017.0,4.0,telefonia,144
2017.0,4.0,telefonia_fixa,11
2017.0,4.0,utilidades_domesticas,184
